system   D            wsystem.c:583  maybe_parent_dir                 [   0.03727] Also searching C:\Users\Laco\Documents\Visual Studio 2013\Projects\Allegro\
display  D   display_settings.c:377  _al_score_display_settings       [   0.18068] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18076] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18082] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18085] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18088] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18090] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18093] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18096] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18099] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18101] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.18104] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.18112] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.18949] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.18958] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.22038] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.40447] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.40453] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.40456] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.40462] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.40465] Returning d3d_display: 006B63C8
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.40467] al_display=006B63C8
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.40469] al_display->vt=006B6300
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40518] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40521] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40523] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40524] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40526] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40527] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40529] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40530] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40532] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.40534] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.40536] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.40537] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.40539] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.40588] added dtor for object 006E0D28, func 57FD2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.41039] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.41045] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41346] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41351] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41353] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41356] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41358] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41360] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41362] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41364] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.41366] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.41369] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.41371] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.41374] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.41376] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.41473] added dtor for object 0073CC90, func 57FD2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.42022] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.42030] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.43662] Font GOTHIC.TTF loaded with pixel size 0 x 36.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.43670]     ascent=36.0, descent=-8.0, height=44.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.43682] added dtor for object 00716A78, func 57FD1B36
dtor     D               dtor.c:184  _al_register_destructor          [   0.43777] added dtor for object 00716C78, func 57FD27A7
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47891] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47895] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47897] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47898] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47900] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47902] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47903] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47904] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47906] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.47908] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.47915] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.47918] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.47920] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.47999] Glyph 51: 17x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.48616] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.48623] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.48869] Glyph 88: 18x21 (20x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.50248] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.50255] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.50294] Glyph 81: 18x21 (20x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.50515] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.50521] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.50550] Glyph 78: 17x29 (20x32)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.50736] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.50740] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.50763] Glyph 87: 10x29 (12x32)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.50961] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.50966] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.50998] Glyph 68: 22x21 (24x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.51195] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.51198] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.51224] Glyph 70: 21x21 (24x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.51432] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.51438] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.51470] Glyph 77: 8x36 (8x36)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.51718] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.51724] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.51757] Glyph 29: 6x21 (8x24)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.51973] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.51978] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:406  cache_glyph                      [   0.52008] Glyph 3 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   0.52024] Glyph 19: 20x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.52249] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.52254] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.52614] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.52619] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.52702] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.52706] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.52736] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.52741] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.51340] Glyph 20: 8x28 (8x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.51463] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.51467] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.51680] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.51685] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.81033] Glyph 21: 20x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.81102] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.81107] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   1.81356] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   1.81365] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   2.15446] Glyph 22: 20x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.15523] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.15529] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.15802] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.15811] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   2.32234] Glyph 23: 20x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.32314] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.32320] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.32719] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.32730] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   2.47428] Glyph 24: 19x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.47500] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.47506] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.47887] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.47893] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   2.62632] Glyph 25: 18x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.62704] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.62712] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.63076] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.63084] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   2.73340] Glyph 26: 18x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.73452] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.73458] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.73848] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.73857] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   2.91438] Glyph 27: 20x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.91537] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.91542] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.91875] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.91882] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.11417] Glyph 28: 18x28 (20x28)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.11465] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.11471] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.11899] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.11907] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [  29.89171] removed dtor for object 006B6148
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [  29.89180] destroying display 006B63C8 (current 00000000)
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  29.89184] converting display bitmap 0071D2B0 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  29.89290] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  29.89298] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [  29.89323] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  29.89342] converting display bitmap 0073CC90 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  29.89493] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  29.89502] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  29.89557] converting display bitmap 006E0D28 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  29.89660] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  29.89667] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [  29.89717] waiting for display 006B63C8's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [  29.90298] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [  29.95977] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  29.96009] removed dtor for object 00716C78
dtor     D               dtor.c:114  _al_run_destructors              [  29.96017] calling dtor for object 00716A78, func 57FD1B36
dtor     D               dtor.c:214  _al_unregister_destructor        [  29.96020] removed dtor for object 00716A78
dtor     D               dtor.c:114  _al_run_destructors              [  29.96092] calling dtor for object 0073CC90, func 57FD2590
dtor     D               dtor.c:214  _al_unregister_destructor        [  29.96097] removed dtor for object 0073CC90
dtor     D               dtor.c:114  _al_run_destructors              [  29.96213] calling dtor for object 006E0D28, func 57FD2590
dtor     D               dtor.c:214  _al_unregister_destructor        [  29.96224] removed dtor for object 006E0D28
